NUTS_ID, TIMESTAMP, MONTHLY_MAX                                                 
DEB1A,2005-01-01,0                                                              
DEB1B,2005-01-01,0                                                              
DEB1C,2005-01-01,0                                                              
DEB1D,2005-01-01,0                                                              
DEB21,2005-01-01,0                                                              
DEB22,2005-01-01,0                                                              
DEB23,2005-01-01,0                                                              
DEB25,2005-01-01,0                                                              
DEB31,2005-01-01,0                                                              
DEB34,2005-01-01,0                                                              
DEB35,2005-01-01,0                                                              
DEB38,2005-01-01,0                                                              
DEB39,2005-01-01,0                                                              
DEB3A,2005-01-01,0                                                              
DEB3B,2005-01-01,0                                                              
DEB3D,2005-01-01,0                                                              
DEB3E,2005-01-01,0                                                              
DEB3G,2005-01-01,0                                                              
DEB3I,2005-01-01,0                                                              
DEB3J,2005-01-01,0                                                              
DEC01,2005-01-01,0                                                              
DEC02,2005-01-01,0                                                              
DEC04,2005-01-01,0                                                              
DEC05,2005-01-01,0                                                              
DED21,2005-01-01,0                                                              
DED2C,2005-01-01,0                                                              
DED2D,2005-01-01,0                                                              
DED2E,2005-01-01,0                                                              
DED2F,2005-01-01,0                                                              
DED41,2005-01-01,0                                                              
DED43,2005-01-01,0                                                              
DED44,2005-01-01,0                                                              
DED45,2005-01-01,0                                                              
DED51,2005-01-01,0                                                              
DED52,2005-01-01,0                                                              
DED53,2005-01-01,0                                                              
DEE01,2005-01-01,0                                                              
DEE02,2005-01-01,0                                                              
DEE03,2005-01-01,0                                                              
DEE05,2005-01-01,0                                                              
DEE06,2005-01-01,0                                                              
DEE07,2005-01-01,0                                                              
DEE08,2005-01-01,0                                                              
DEE09,2005-01-01,0                                                              
DEE0A,2005-01-01,0                                                              
DEE0B,2005-01-01,0                                                              
DEE0C,2005-01-01,0                                                              
DEE0D,2005-01-01,.767                                                           
DEE0E,2005-01-01,0                                                              
DEF03,2005-01-01,0                                                              
DEF05,2005-01-01,0                                                              
DEF06,2005-01-01,0                                                              
DEF07,2005-01-01,0                                                              
DEF08,2005-01-01,0                                                              
DEF09,2005-01-01,0                                                              
DEF0B,2005-01-01,0                                                              
DEF0C,2005-01-01,0                                                              
DEF0E,2005-01-01,0                                                              
DEG02,2005-01-01,0                                                              
DEG03,2005-01-01,0                                                              
DEG06,2005-01-01,0                                                              
DEG09,2005-01-01,0                                                              
DEG0A,2005-01-01,0                                                              
DEG0B,2005-01-01,0                                                              
DEG0D,2005-01-01,0                                                              
DEG0G,2005-01-01,0                                                              
DEG0I,2005-01-01,0                                                              
DEG0J,2005-01-01,0                                                              
DEG0K,2005-01-01,0                                                              
DEG0L,2005-01-01,0                                                              
DEG0M,2005-01-01,0                                                              
DEG0N,2005-01-01,0                                                              
DEG0P,2005-01-01,0                                                              
DK031,2005-01-01,0                                                              
DK032,2005-01-01,0                                                              
DK041,2005-01-01,0                                                              
DK042,2005-01-01,0                                                              
DK050,2005-01-01,0                                                              
EE001,2005-01-01,0                                                              
EE004,2005-01-01,0                                                              
EE008,2005-01-01,0                                                              
EE009,2005-01-01,0                                                              
EE00A,2005-01-01,0                                                              
EL511,2005-01-01,.4                                                             
EL512,2005-01-01,0                                                              
EL513,2005-01-01,0                                                              
EL514,2005-01-01,0                                                              
EL515,2005-01-01,0                                                              
EL521,2005-01-01,0                                                              
EL522,2005-01-01,0                                                              
EL523,2005-01-01,0                                                              
EL524,2005-01-01,0                                                              
EL525,2005-01-01,0                                                              
EL526,2005-01-01,0                                                              
EL527,2005-01-01,0                                                              
EL531,2005-01-01,0                                                              
EL532,2005-01-01,0                                                              
EL533,2005-01-01,0                                                              
EL541,2005-01-01,0                                                              
EL542,2005-01-01,0                                                              
EL543,2005-01-01,0                                                              
EL611,2005-01-01,.338                                                           
EL612,2005-01-01,.372                                                           
EL631,2005-01-01,0                                                              
EL632,2005-01-01,0                                                              
EL633,2005-01-01,0                                                              
EL641,2005-01-01,0                                                              
EL642,2005-01-01,0                                                              
EL643,2005-01-01,0                                                              
EL644,2005-01-01,.239                                                           
EL645,2005-01-01,0                                                              
EL651,2005-01-01,0                                                              
EL653,2005-01-01,0                                                              
ES111,2005-01-01,0                                                              
ES112,2005-01-01,0                                                              
ES113,2005-01-01,0                                                              
ES114,2005-01-01,0                                                              
ES120,2005-01-01,0                                                              
ES130,2005-01-01,0                                                              
ES211,2005-01-01,0                                                              
ES213,2005-01-01,0                                                              
ES220,2005-01-01,0                                                              
ES230,2005-01-01,0                                                              
ES241,2005-01-01,.715                                                           
ES242,2005-01-01,.014                                                           
ES243,2005-01-01,.715                                                           
ES300,2005-01-01,.923                                                           
ES411,2005-01-01,.927                                                           
ES412,2005-01-01,.336                                                           
ES413,2005-01-01,0                                                              
ES414,2005-01-01,0                                                              
ES415,2005-01-01,.792                                                           
ES416,2005-01-01,.858                                                           
ES417,2005-01-01,0                                                              
ES418,2005-01-01,.852                                                           
ES419,2005-01-01,.659                                                           
ES421,2005-01-01,.609                                                           
ES422,2005-01-01,.986                                                           
ES423,2005-01-01,.989                                                           
ES424,2005-01-01,.989                                                           
ES425,2005-01-01,.881                                                           
ES431,2005-01-01,.983                                                           
ES432,2005-01-01,.984                                                           
ES511,2005-01-01,.269                                                           
ES512,2005-01-01,.269                                                           
ES513,2005-01-01,.9                                                             
ES514,2005-01-01,.543                                                           
ES521,2005-01-01,0                                                              
ES522,2005-01-01,0                                                              
ES523,2005-01-01,.882                                                           
ES611,2005-01-01,.766                                                           
ES612,2005-01-01,.862                                                           
ES613,2005-01-01,.986                                                           
ES614,2005-01-01,.835                                                           
ES615,2005-01-01,.913                                                           
ES616,2005-01-01,.897                                                           
