year,geo,variable,sector,unit,value,namefile
2021,BG332,area,,KM2,4720,area.xlsx
2022,BG332,area,,KM2,4720,area.xlsx
2019,BG333,area,,KM2,3395,area.xlsx
2020,BG333,area,,KM2,3395,area.xlsx
2021,BG333,area,,KM2,3395,area.xlsx
2022,BG333,area,,KM2,3395,area.xlsx
2019,BG334,area,,KM2,2711,area.xlsx
2020,BG334,area,,KM2,2711,area.xlsx
2021,BG334,area,,KM2,2711,area.xlsx
2022,BG334,area,,KM2,2711,area.xlsx
2019,BG341,area,,KM2,7751,area.xlsx
2020,BG341,area,,KM2,7751,area.xlsx
2021,BG341,area,,KM2,7751,area.xlsx
2022,BG341,area,,KM2,7751,area.xlsx
2019,BG342,area,,KM2,3544,area.xlsx
2020,BG342,area,,KM2,3544,area.xlsx
2021,BG342,area,,KM2,3544,area.xlsx
2022,BG342,area,,KM2,3544,area.xlsx
2019,BG343,area,,KM2,3356,area.xlsx
2020,BG343,area,,KM2,3356,area.xlsx
2021,BG343,area,,KM2,3356,area.xlsx
2022,BG343,area,,KM2,3356,area.xlsx
2019,BG344,area,,KM2,5150,area.xlsx
2020,BG344,area,,KM2,5150,area.xlsx
2021,BG344,area,,KM2,5150,area.xlsx
2022,BG344,area,,KM2,5150,area.xlsx
2019,BG411,area,,KM2,1342,area.xlsx
2020,BG411,area,,KM2,1342,area.xlsx
2021,BG411,area,,KM2,1342,area.xlsx
2022,BG411,area,,KM2,1342,area.xlsx
2019,BG412,area,,KM2,7063,area.xlsx
2020,BG412,area,,KM2,7063,area.xlsx
2021,BG412,area,,KM2,7063,area.xlsx
2022,BG412,area,,KM2,7063,area.xlsx
2019,BG413,area,,KM2,6451,area.xlsx
2020,BG413,area,,KM2,6451,area.xlsx
2021,BG413,area,,KM2,6451,area.xlsx
2022,BG413,area,,KM2,6451,area.xlsx
2019,BG414,area,,KM2,2392,area.xlsx
2020,BG414,area,,KM2,2392,area.xlsx
2021,BG414,area,,KM2,2392,area.xlsx
2022,BG414,area,,KM2,2392,area.xlsx
2019,BG415,area,,KM2,3053,area.xlsx
2020,BG415,area,,KM2,3053,area.xlsx
2021,BG415,area,,KM2,3053,area.xlsx
2022,BG415,area,,KM2,3053,area.xlsx
