"NUTS_CODE","TIMESTAMP","MEDIAN"
"DEC05","2003-01-01",0.931
"DEC06","2003-01-01",0.945
"DED21","2003-01-01",0.909
"DED2C","2003-01-01",1.196
"DED2D","2003-01-01",1.146
"DED2E","2003-01-01",1.314
"DED2F","2003-01-01",0.954
"DED41","2003-01-01",1.024
"DED42","2003-01-01",0.996
"DED43","2003-01-01",1.245
"DED44","2003-01-01",1.331
"DED45","2003-01-01",1.079
"DED51","2003-01-01",1.612
"DED52","2003-01-01",1.529
"DED53","2003-01-01",1.427
"DEE01","2003-01-01",1.346
"DEE02","2003-01-01",1.317
"DEE03","2003-01-01",1.209
"DEE04","2003-01-01",0.889
"DEE05","2003-01-01",1.378
"DEE06","2003-01-01",1.212
"DEE07","2003-01-01",1.316
"DEE08","2003-01-01",1.569
"DEE09","2003-01-01",0.787
"DEE0A","2003-01-01",1.418
"DEE0B","2003-01-01",1.775
"DEE0C","2003-01-01",1.377
"DEE0D","2003-01-01",0.789
"DEE0E","2003-01-01",1.223
"DEF01","2003-01-01",0.269
"DEF02","2003-01-01",0.276
"DEF03","2003-01-01",0.269
"DEF04","2003-01-01",-0.192
"DEF05","2003-01-01",0.073
"DEF06","2003-01-01",0.657
"DEF07","2003-01-01",0.069
"DEF08","2003-01-01",0.282
"DEF09","2003-01-01",0.064
"DEF0A","2003-01-01",0.336
"DEF0B","2003-01-01",0.225
"DEF0C","2003-01-01",0.072
"DEF0D","2003-01-01",0.354
"DEF0E","2003-01-01",-0.087
"DEF0F","2003-01-01",0.493
"DEG01","2003-01-01",1.395
"DEG02","2003-01-01",1.377
"DEG03","2003-01-01",1.5
"DEG04","2003-01-01",0.633
"DEG05","2003-01-01",1.747
"DEG06","2003-01-01",1.045
"DEG07","2003-01-01",0.446
"DEG09","2003-01-01",1.221
"DEG0A","2003-01-01",1.232
"DEG0B","2003-01-01",1.223
"DEG0C","2003-01-01",1.402
"DEG0D","2003-01-01",1.454
"DEG0E","2003-01-01",0.876
"DEG0F","2003-01-01",0.778
"DEG0G","2003-01-01",1.849
"DEG0H","2003-01-01",0.552
"DEG0I","2003-01-01",0.742
"DEG0J","2003-01-01",1.479
"DEG0K","2003-01-01",1.309
"DEG0L","2003-01-01",1.433
"DEG0M","2003-01-01",1.483
"DEG0N","2003-01-01",1.606
"DEG0P","2003-01-01",1.385
"DK011","2003-01-01",0.17
"DK012","2003-01-01",0.335
